iter	Logloss
0	0.6631577509
1	0.6359834332
2	0.6108694246
3	0.588015229
4	0.5674746022
5	0.5487955251
6	0.5314229649
7	0.5151098804
8	0.5005998894
9	0.4868446074
10	0.4741881275
11	0.4629770369
12	0.4529012025
13	0.442929629
14	0.4340407129
15	0.4262963921
16	0.4189345653
17	0.4119373779
18	0.4054063989
19	0.399073835
20	0.3937614966
21	0.3879112887
22	0.3831894553
23	0.3779117596
24	0.3730992565
25	0.3690143252
26	0.3650265079
27	0.3621864403
28	0.3587662736
29	0.3556009665
30	0.3528583233
31	0.3498109445
32	0.3470416379
33	0.3447037166
34	0.3427293174
35	0.3406837057
36	0.337894245
37	0.3353281501
38	0.3335892322
39	0.3320538363
40	0.330739058
41	0.3286658067
42	0.327038559
43	0.3251017734
44	0.323805019
45	0.3226718508
46	0.3203688909
47	0.319078341
48	0.3178347356
49	0.3166235354
50	0.3154384004
51	0.3144099162
52	0.3136534747
53	0.3125377858
54	0.3112817149
55	0.3102483354
56	0.3084971439
57	0.3077115335
58	0.3065585526
59	0.3053387157
60	0.3041049461
61	0.3033157044
62	0.3017266968
63	0.3008641745
64	0.3001920514
65	0.2986856043
66	0.2978581028
67	0.2973433557
68	0.296447737
69	0.2957357768
70	0.2951248327
71	0.2944179371
72	0.2936561968
73	0.2928223977
74	0.2924513168
75	0.2917273792
76	0.2910110259
77	0.2904968149
78	0.2898609991
79	0.2888733678
80	0.2881994247
81	0.2875559006
82	0.2869276351
83	0.2864464049
84	0.286026523
85	0.2853247485
86	0.2848158757
87	0.2840425841
88	0.2836500061
89	0.2829185774
90	0.2822539708
91	0.2816074981
92	0.2810088587
93	0.2806575806
94	0.2801088779
95	0.2796045662
96	0.2792215841
97	0.2785825786
98	0.2780958548
99	0.2774816829
100	0.2770052817
101	0.2766298401
102	0.2762670714
103	0.2754244762
104	0.2750171021
105	0.2746378176
106	0.2739285097
107	0.2736147057
108	0.2732436784
109	0.2729517257
110	0.2724838398
111	0.2721618054
112	0.2717294947
113	0.2713878733
114	0.2709820454
115	0.270702252
116	0.2703196029
117	0.2700348352
118	0.2697093628
119	0.2694032319
120	0.2691435814
121	0.2687801539
122	0.2684176137
123	0.2681126651
124	0.267797456
125	0.2673107266
126	0.2669458037
127	0.2666159396
128	0.2663600402
129	0.2660867858
130	0.2658329024
131	0.2653954086
132	0.265027619
133	0.2647206529
134	0.2641059097
135	0.2638339813
136	0.263134361
137	0.2628828816
138	0.2626627282
139	0.2623396343
140	0.2619979001
141	0.2616931673
142	0.2610484016
143	0.2605780032
144	0.2599354256
145	0.2595481816
146	0.2592710532
147	0.2589228097
148	0.2586641199
149	0.2583870987
150	0.2581130682
151	0.2577245419
152	0.2573373811
153	0.2570280888
154	0.2567268264
155	0.2564424608
156	0.2560037198
157	0.2556839723
158	0.2555177621
159	0.2550944845
160	0.254713998
161	0.254426066
162	0.2540733701
163	0.2539398021
164	0.2536551064
165	0.2533471993
166	0.2531148456
167	0.2526893968
168	0.2524868821
169	0.2523530179
170	0.2518561154
171	0.2514292559
172	0.2511425921
173	0.2507589244
174	0.2505269361
175	0.2502636119
176	0.2497607801
177	0.2495119318
178	0.249237282
179	0.2489920241
180	0.2487041442
181	0.248494824
182	0.248263029
183	0.2480528341
184	0.2478399277
185	0.2476414153
186	0.2474434348
187	0.2472877982
188	0.246973358
189	0.246747553
190	0.2464860374
191	0.246333015
192	0.2461531247
193	0.2458752768
194	0.2456113417
195	0.2453988008
196	0.2451588797
197	0.2449116735
198	0.2447835412
199	0.2446556952
200	0.2444451786
201	0.244176124
202	0.2439407526
203	0.2435358967
204	0.2431410629
205	0.2427619801
206	0.2426211256
207	0.2423646549
